2017-11-23 11:10:59 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:11:06 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:11:08 INFO  Browser:23 - Maximixe the window
2017-11-23 11:11:08 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:13:07 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:13:07 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:13:25 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:13:27 INFO  Browser:23 - Maximixe the window
2017-11-23 11:13:27 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:14:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:14:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:14:40 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:14:41 INFO  Browser:23 - Maximixe the window
2017-11-23 11:14:41 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:23:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:23:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:23:35 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:23:40 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:23:41 INFO  Browser:23 - Maximixe the window
2017-11-23 11:23:41 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:24:40 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:24:40 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:24:40 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:24:44 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:24:46 INFO  Browser:23 - Maximixe the window
2017-11-23 11:24:46 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:25:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:25:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:25:53 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:25:58 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
2017-11-23 11:25:59 INFO  Browser:23 - Maximixe the window
2017-11-23 11:25:59 INFO  Browser:24 - Web application launched: https://devconnect.lrsus.com/
2017-11-23 11:26:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: TestData/loginTestData.properties
2017-11-23 11:26:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:26:36 INFO  DataStoreRepository:74 - Property file is loaded successfully: config.properties
2017-11-23 11:26:41 INFO  Browser:21 - Implicit wait applied on the driver for 60 seconds
